"","Unique","Survey","Length","Sex","Date","Freq","Code","Fate","Latitude","Longitude","seg","vert","x","y","lake","spawn"
"179",17,13,371,"F",2025-10-29,150.4,16,"A",62.91711,-143.7773,110,93,516014.370354471,1478298.86597205,TRUE,FALSE
"180",21,0,332,"F",2024-09-28,150.4,17,"A",62.8921,-143.7311,58,30,518758.356710011,1475896.68726891,FALSE,TRUE
"181",21,1,332,"F",2024-10-16,150.4,17,"A",62.90186,-143.77624,185,2,516328.812160303,1476622.80995806,FALSE,TRUE
"182",21,2,332,"F",2024-10-24,150.4,17,"A",62.91315,-143.75981,26,2,516958.192208311,1477997.5334741,TRUE,FALSE
"183",21,3,332,"F",2024-11-01,150.4,17,"A",62.9159014,-143.7628164,86,3,516760.407963465,1478278.00327834,TRUE,FALSE
"184",21,4,332,"F",2024-12-27,150.4,17,"A",62.9136281,-143.7753881,110,93,516169.792811178,1477929.16533789,TRUE,FALSE
"185",21,5,332,"F",2025-03-17,150.4,17,"A",62.9180764,-143.8196847,110,80,513875.232062025,1478076.95852569,TRUE,FALSE
"186",21,6,332,"F",2025-05-19,150.4,17,"A",62.9336464,-143.7454697,11,112,517324.0598476,1480372.78648804,TRUE,FALSE
"187",21,7,332,"F",2025-06-11,150.4,17,"A",62.9142314,-143.7730031,110,94,516278.899018768,1478014.33553303,TRUE,FALSE
"188",21,8,332,"F",2025-07-22,150.4,17,"M",62.9135714,-143.7789047,110,92,515994.639720734,1477895.5754883,TRUE,FALSE
"189",21,9,332,"F",2025-09-08,150.4,17,"M",62.91373,-143.77617,110,93,516128.88603803,1477934.3427219,TRUE,FALSE
"190",21,10,332,"F",2025-09-24,150.4,17,"M",62.91308,-143.77971,110,92,515962.725888046,1477835.04561821,TRUE,FALSE
"191",21,11,332,"F",2025-10-10,150.4,17,"M",62.91346,-143.77661,110,93,516111.476456793,1477901.10303337,TRUE,FALSE
"192",21,12,332,"F",2025-10-22,150.4,17,"M",62.91445,-143.77185,110,94,516332.900800872,1478047.44325818,TRUE,FALSE
"193",21,13,332,"F",2025-10-29,150.4,17,"M",62.91292,-143.77627,110,93,516137.759639211,1477844.10500696,TRUE,FALSE
"194",3,0,415,"M",2024-09-28,150.4,18,"A",62.9022,-143.7605,155,9,517111.586581087,1476782.82811516,FALSE,TRUE
"195",3,1,415,"M",2024-10-16,150.4,18,"A",62.84481,-143.69405,76,9,521431.963778371,1470964.50362052,FALSE,FALSE
"196",3,3,415,"M",2024-11-01,150.4,18,"A",62.7825031,-143.7643631,89,185,518971.906000685,1463532.5140661,FALSE,FALSE
"197",3,4,415,"M",2024-12-27,150.4,18,"A",62.9166281,-143.8029664,110,86,514737.24747627,1478046.45955889,TRUE,FALSE
"198",3,5,415,"M",2025-03-17,150.4,18,"A",62.9146781,-143.7785697,110,92,515992.455263506,1478020.40858083,TRUE,FALSE
"199",3,8,415,"M",2025-07-22,150.4,18,"A",62.7188047,-143.8638664,89,378,515048.794370143,1455721.28085261,FALSE,FALSE
"200",3,9,415,"M",2025-09-08,150.4,18,"M",62.71869,-143.85133,89,368,515682.796632586,1455805.89417948,FALSE,FALSE
