"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"44",3.15894811918538,3.39802446955552,5.65577260919701,7.30502072235864,7.30502072235864,7.30502072235864,NA,NA,NA,NA,NA,NA,NA
"45",2.90934371416591,NA,22.205601438505,23.6693301522951,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",9.98481933446829,60.2983655236718,68.0406120931,77.0419312119357,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2.3502580662996,4.7010382020524,6.15028631521403,6.39826886962669,6.39826886962669,6.39826886962669,NA,6.39826886962669,6.39826886962669,NA,NA,NA,NA
"48",2.91505610096937,NA,2.91505610096937,2.91505610096937,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",3.78908264878801,6.20701927712929,8.01408750167568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",3.96316798122403,5.02897596903179,5.02897596903179,5.02897596903179,5.22897596903178,5.6176770070276,7.13343742566324,NA,8.86119097887227,8.86119097887227,NA,NA,NA
"51",0.439879110977326,NA,NA,4.98536737213201,5.37406841012778,6.79459035932038,7.87240476561356,7.87240476561356,NA,NA,8.62126576615656,8.62126576615656,8.82126576615658
"52",4.3749048487388,NA,8.715077774028,8.715077774028,8.96306032844066,9.16306032844068,10.0782951130913,10.0782951130913,10.0782951130913,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,12.2525414141967,17.3683365935081,17.3683365935081,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0.801736138576107,2.42179557419314,7.70573981927724,NA,8.46540844831276,8.46540844831276,NA,NA,NA,NA,NA,NA,NA
"56",6.9194922544815,6.9194922544815,7.27302227840441,7.27302227840441,7.27302227840441,NA,NA,NA,NA,NA,NA,NA,NA
"57",2.64235290016985,2.92847126824368,NA,6.55695811891007,NA,7.71662674794556,9.43238716658119,9.43238716658119,9.43238716658119,NA,NA,NA,NA
"58",5.02226158690721,5.02226158690721,5.95982362544602,5.95982362544602,5.95982362544602,7.58034557463853,8.45763434694673,8.96932042156955,8.96932042156955,8.96932042156955,8.96932042156955,8.96932042156955,NA
"59",6.35982362544601,NA,NA,6.35982362544601,NA,NA,NA,NA,NA,NA,NA,NA,NA
